School,StadiumCapacity,Longitude,Latitude,Enrollment,,,,,,,,,,,,,,,
Illinois Fighting Illini,"60,670",-88.23562,40.101952,"56,299",,,,,,,,,,,,,,,
Indiana Hoosiers ,"52,626",-86.522101,39.180971,"47,729",,,,,,,,,,,,,,,
Iowa Hawkeyes,"69,250",-91.551458,41.658996,"31,240",,,,,,,,,,,,,,,
Maryland Terrapins ,"51,802",-76.94986,38.9859,"40,709",,,,,,,,,,,,,,,
Michigan State Spartans,"75,005",-84.484705,42.727596,"50,344",,,,,,,,,,,,,,,
Michigan Wolverines,"107,601",-83.748611,42.265833,"50,278",,,,,,,,,,,,,,,
Minnesota Golden Gophers,"50,805",-93.229,44.976,"51,848",,,,,,,,,,,,,,,
Nebraska Cornhuskers,"85,458",-96.705,40.82,"25,108",,,,,,,,,,,,,,,
Northwestern Wildcats,"47,130",-87.69,42.067,"23,409",,,,,,,,,,,,,,,
Ohio State Buckeyes,"102,780",-83.019523,40.001656,"61,677",,,,,,,,,,,,,,,
Penn State Nittany Lions,"106,572",-77.856111,40.812777,"88,116",,,,,,,,,,,,,,,
Purdue Boilermakers,"57,236",-86.921944,40.431939,"50,884",,,,,,,,,,,,,,,
Rutgers Scarlet Knights ,"52,454",-74.465,40.513056,"50,254",,,,,,,,,,,,,,,
Wisconsin Badgers,"80,321",-89.4128,43.06955,"48,161",,,,,,,,,,,,,,,
Air Force Falcons ,52480,-104.759899,38.8632,4413,,,,,,,,,,,,,,,
Akron Zips ,30000,-81.521499,41.0804,27470,,,,,,,,,,,,,,,
Alabama Crimson Tide,101821,-87.540979,33.2377,31647,,,,,,,,,,,,,,,
Arizona State Sun Devils,73379,-111.930639,33.38835,72254,,,,,,,,,,,,,,,
Arizona Wildcats,57803,-110.891717,32.195816,39236,,,,,,,,,,,,,,,
Arkansas Razorbacks,76000,-94.155684,36.0718,23199,,,,,,,,,,,,,,,
Arkansas State Red Wolves ,30964,-90.685768,35.821828,13900,,,,,,,,,,,,,,,
Army Black Knights ,40000,-74.027317,41.362343,4624,,,,,,,,,,,,,,,
Auburn Tigers,87451,-85.480322,32.5929,25469,,,,,,,,,,,,,,,
Ball State Cardinals,22500,-87.842539,40.115904,22147,,,,,,,,,,,,,,,
Baylor Bears ,50000,-97.183198,31.56895,15029,,,,,,,,,,,,,,,
Boise State Broncos,37000,-116.2261,43.606651,19664,,,,,,,,,,,,,,,
Boston College Eagles ,44500,-71.017892,42.336029,13906,,,,,,,,,,,,,,,
Bowling Green Falcons,23724,-83.6514,41.3747,17577,,,,,,,,,,,,,,,
